id	class	disposition	component	b2	test	note	text
23,00	C3	reserved	input/output binder	B.2 environment description		M3 (GET RECORD FROM binding)	INCORRECT USE OF -GET RECORD FROM-. CHECK DATA DESCRIPTION OR ENVIRONMENT DESCRIPTION.
24,00	C5	reserved	internal-error reporting	B.2 self-diagnostics		internal-consistency assertion (D9.15 group a)	ILLEGAL INTERNAL CONDITION. NOTHING DONE. POSSIBLE COMPILER ERROR.
25,00	C2	enforced	name resolution	B.2 MOVE/ADD/SET/arithmetic	test/resolver_test.dart: an environment name at a data site draws 25,00	M3 stage 2 (M3-17 triage; M3-21 data-format checks, J 02.04.03)	OPERATION IGNORED BECAUSE 'NAME.1' HAS IMPROPER DATA FORMAT\n                    ( E  A(2) ) FOR THIS USE.
26,00	C2	reserved	code generator	B.2 MOVE/ADD/SET/arithmetic		M4 (transfer-address legality)	OPERATION IGNORED BECAUSE 'NAME.1' IS ILLEGAL TRANSFER ADDRESS.
27,00	C1	reserved	code generator	B.2 MOVE/ADD/SET/arithmetic		M4 (scaling analysis)	DOWNSCALE GENERATED WHICH LOSES ALL SIGNIFICANT FIGURES.
28,00	C1	reserved	code generator	B.2 MOVE/ADD/SET/arithmetic		M4 (compile-time constant folding)	ATTEMPTED DIVISION BY ZERO BYPASSED. RESULT TAKEN TO BE ZERO.
29,00	C5	reserved	internal-error reporting	B.2 self-diagnostics		internal-consistency assertion (D9.15 group a)	ILLEGAL INTERNAL CONDITION. NOTHING DONE. POSSIBLE COMPILER ERROR.
30,00	C2	reserved	name resolution	B.2 DO/functions/subscripting		M3 (function argument counts need the dictionary)	FUNCTION 'NAME.1' LACKS EXPLICIT SPECIFICATION OF ALL ARGUMENTS.
31,00	C2	reserved	name resolution	B.2 DO/functions/subscripting		M3 (subscript variable formats)	SUBSCRIPT VARIABLE 'NAME.1' MUST BE AN INTEGER.
32,00	C1	enforced	data description	B.2 data description	test/data_mapper_test.dart: edit characters under mode I draw 32,00 and the pictorial	M3 (mode vs pictorial agreement)	MODE AND DATA DESCRIPTION CONFLICT. 'NAME.1' FORMAT USED.
33,00	C1	enforced	data description	B.2 data description	test/data_mapper_test.dart: A mixed with edit characters draws 33,00 and the field is	M3 (pictorial content classification, M2-3)	ILLEGAL COMBINATION OF FORMAT CHARACTERS. CHECK DATA DESCRIPTION.\n                    'NAME.1' FORMAT USED.
34,00	C1	enforced	data description	B.2 data description	test/data_mapper_test.dart: a repetition count past 99999 draws 34,00 and is clamped	M3 (pictorial content classification)	MAXIMUM FORMAT CHARACTER COUNT EXCEEDED. 'NAME.1' FORMAT USED.
35,00	C1	enforced	data description	B.2 data description	test/data_mapper_test.dart: a scientific fraction over 16 digits draws 35,00	M3 (pictorial content classification)	MAXIMUM NUMERIC LENGTH EXCEEDED. 'NAME.1' FORMAT USED.
36,00	C3	enforced	data description	B.2 data description	test/data_mapper_test.dart: sub-organization under a formatted field draws 36,00 and	M3 (format-level sub-organization)	DATA ON FORMAT DESCRIPTION LEVEL CANNOT HAVE SUB-ORGANIZATION.\n                    CHECK 'NAME.1'.
37,00	C1	enforced	data description	B.2 data description	test/resolver_test.dart: a COND under a formatless variable draws 37,00	M3 stage 2 (M3-17 COND binding)	FORMAT ERROR FOR CONDITIONAL VARIABLE. 'NAME.1' FORMAT USED.
38,00	C2	enforced	data description	B.2 data description	test/data_mapper_test.dart: a COND entry with a Quantity draws 38,00	M3 (conditional-variable QUANTITY bar)	CONDITIONAL VARIABLE CANNOT HAVE -QUANTITY-.
39,00	C2	enforced	data description	B.2 data description	test/data_mapper_test.dart: right justification on a group draws 39,00 and is ignored	M3 (justification vs format level)	DATA NOT ON FORMAT DESCRIPTION LEVEL CANNOT BE SPECIFIED AS RIGHT JUSTIFIED.
40,00	C3	enforced	data description	B.2 data description	test/data_mapper_test.dart: a REDEF to a later definition draws 40,00	M3 (REDEF target resolution)	-REDEF- TO 'NAME.1' CANNOT OCCUR BEFORE DEFINITION.
41,00	C3	enforced	data description	B.2 data description	test/data_mapper_test.dart: a REDEF naming nothing draws 41,00	M3 (REDEF/QUANTITY IN target resolution)	NAME ASSOCIATED WITH -REDEF- OR -QUANTITY IN- IS UNDEFINED.
42,00	C3	enforced	data description	B.2 data description	test/data_mapper_test.dart: an entry with no length draws 42,00	M3 (item length computation)	DATA ITEM WITHOUT LENGTH. CHECK 'NAME.1'.
43,00	C2	enforced	data description	B.2 data description	test/data_mapper_test.dart: a constant inside a redefinition draws 43,00 and is not	M3 (constant placement rules)	CONSTANT CANNOT BE ASSOCIATED WITH -REDEF- OR INPUT RECORD, OR PRECEDED BY VARIABLE LENGTH FIELD.
44,00	C1	enforced	data description	B.2 data description	test/data_mapper_test.dart: QUANTITY IN with a blank Quantity draws 44,00 and one is	M3 (QUANTITY default; C1 repair)	UNSPECIFIED MAXIMUM QUANTITY ASSUMED TO BE 1 FOR STORAGE ALLOCATION.
45,00	C3	enforced	data description	B.2 data description	test/data_mapper_test.dart: a REDEF to a COND entry draws 45,00	M3 (REDEF/QUANTITY IN target typing)	'NAME.1' IS -COND- TYPE AND CANNOT BE\n                    ASSOCIATED WITH -REDEF- OR -QUANTITY IN-.
46,00	C3	enforced	data description	B.2 data description	test/data_mapper_test.dart: a REDEF naming a file draws 46,00	M3 (REDEF/QUANTITY IN target typing)	'NAME.1' IS NOT DATA NAME AND CANNOT BE\n                    ASSOCIATED WITH -REDEF- OR -QUANTITY IN-.
47,00	C3	enforced	data description	B.2 data description	test/data_mapper_test.dart: QUANTITY IN on a group draws 47,00	M3 (QUANTITY IN vs format level)	DATA NOT ON FORMAT DESCRIPTION LEVEL CANNOT BE ASSOCIATED WITH -QUANTITY IN-.
48,00	C2	reserved	input/output binder	B.2 environment description		reserved until D6/M5 (PATTERN syntax, D9.12)	NO RECORDS SPECIFIED IN -PATTERN- ON -FILE- CARD FOR 'NAME.1'.
49,00	C1	reserved	input/output binder	B.2 environment description		reserved until D6/M5 (D9.12); criterion attested, severity ours (D9.11)	SINGLE RECORD IN THE -PATTERN- ON -FILE- CARD\n                    FOR 'NAME.1'. INEFFICIENT PROGRAM PRODUCED.
50,00	C2	reserved	input/output binder	B.2 numeric limits		reserved until D6/M5 (PATTERN syntax, D9.12)	NUMBER OF RECORDS IN -PATTERN- CANNOT EXCEED 16.
51,00	C2	enforced	data description	B.2 data description	test/data_mapper_test.dart: an external constant of the wrong length draws 51,00	M3 (constant vs pictorial length)	CONFLICT BETWEEN LENGTH OF CONSTANT AND PICTORIAL OF 'NAME.1'.
52,00	C2	enforced	card reader and lexer	B.2 data description	test/procedure_lexer_test.dart: an over-long numeric literal draws 52,00		MAXIMUM NUMERIC LENGTH EXCEEDED FOR CONSTANT OR LITERAL.
53,00	C2	enforced	card reader and lexer	B.2 data description	test/procedure_lexer_test.dart: an F without a following digit draws 53,00		INCORRECT USAGE OF PERIOD, SIGN, OR F FOR CONSTANT OR LITERAL.
54,00	C2	enforced	data description	B.2 data description	test/data_mapper_test.dart: an illegal scientific constant character draws 54,00	M3 (constant/literal character legality)	ILLEGAL CHARACTER FOR CONSTANT OR LITERAL.
55,00	C2	enforced	data description	B.2 data description	test/data_mapper_test.dart: a floating constant too large draws 55,00	M3 (floating conversion overflow)	FLOATING POINT OVERFLOW IN CONVERTING CONSTANT OR LITERAL.
56,00	C2	enforced	data description	B.2 data description	test/data_mapper_test.dart: a floating constant too small draws 56,00	M3 (floating conversion underflow)	FLOATING POINT UNDERFLOW IN CONVERTING CONSTANT OR LITERAL.
57,00	C2	enforced	data description	B.2 data description	test/data_mapper_test.dart: a constant on an edited field draws 57,00	M3 (constant placement rules)	CONSTANT CANNOT BE GIVEN FOR EDITED TYPE FIELD.
58,00	C2	enforced	data description	B.2 data description	test/data_mapper_test.dart: an external constant without the pictorial sign draws	M3 (external decimal constants)	CONSTANT OF EXTERNAL DECIMAL TYPE IN ERROR. CHECK 'NAME.1'.
59,00	C2	enforced	data description	B.2 data description	test/data_mapper_test.dart: an over-long alphabetic constant draws 59,00 and is	M3 (constant vs pictorial length)	CONFLICT BETWEEN LENGTH OF ALPHABETIC CONSTANT AND PICTORIAL.
60,00	C1	enforced	data description	B.2 data description	test/data_mapper_test.dart: a zero repetition count draws 60,00 and one is used	M3 (pictorial repair; C1)	ZERO COUNT IN PICTORIAL REPLACED BY ONE.
61,00	C3	enforced	name resolution	B.2 names	test/resolver_test.dart: a label that is a key word draws 61,00	M3 stage 2 (M3-17: operation found in name field)	OPERATION DEFINED AS NAME OR FOUND IN NAME FIELD.
62,00	C1	enforced	card reader and lexer	B.2 lexical/card-format	test/procedure_lexer_test.dart: a sentence spans cards; a margin name closes an open one	trigger criterion non-historical (D9.4)	PREVIOUS CARD NOT PROPERLY TERMINATED. PERIOD ASSUMED.
63,00	C3	enforced	procedure parser	B.2 MOVE/ADD/SET/arithmetic	test/procedure_parser_test.dart: a misplaced CORRESPONDING draws 63 and is skipped		NEITHER -ADD- NOR -MOVE- PRECEDES -CORRESPONDING-
64,00	C3	enforced	procedure parser	B.2 sections/control flow	test/procedure_parser_test.dart: END with no open section draws 64; unclosed draws 66		CANNOT -END- SECTION WHEN NONE ARE OPEN.
65,00	C4	enforced	procedure parser	B.2 sections/control flow	test/procedure_parser_test.dart: BEGIN SECTION and END pair; a wrong END draws 65		CANNOT -END- SECTION 'NAME.1'\n                    BEFORE SECTION 'NAME.2'.
66,00	C4	enforced	procedure parser	B.2 sections/control flow	test/procedure_parser_test.dart: END with no open section draws 64; unclosed draws 66		ONE OR MORE SECTIONS NOT CLOSED.
67,00	C2	enforced	data description	B.2 data description	test/data_mapper_test.dart: a non-numeric character in a numeric constant draws 67,00	M3 (numeric field content)	THERE IS AN ILLEGAL NON-NUMERIC CHARACTER IN THE NUMERIC FIELD.
68,00	C2	reserved	name resolution	B.2 DO/functions/subscripting		M3 (function argument counts)	EVALUATION IGNORED FOR FUNCTION 'NAME.1'.\n                    TOO MANY ARGUMENTS SPECIFIED.
69,00	C5	reserved	internal-error reporting	B.2 self-diagnostics		assembly-stage assertion (D9.15 group a)	ILLEGAL INTERNAL CODE 'NAME.1' SENT TO ASSEMBLY.  POSSIBLE COMPILER ERROR.
70,00	C2	reserved	name resolution	B.2 DO/functions/subscripting		M3 (array dimension checks)	CHECK ARRAY OF ELEMENTS, 'NAME.1', FOR NUMBER OF DIMENSIONS.
71,00	C2	reserved	name resolution	B.2 DO/functions/subscripting		M3 (subscript variable formats)	INVALID FORMAT FOR SUBSCRIPT VARIABLE IN ARRAY OF ELEMENTS, 'NAME.1'.
72,00	C3	reserved	name resolution	B.2 DO/functions/subscripting		M3 (DO USING/GIVING parameter counts)	TOO MANY -USING- PARAMETERS IN -DO- STATEMENT.
73,00	C3	reserved	name resolution	B.2 DO/functions/subscripting		M3 (DO USING/GIVING parameter counts)	TOO FEW -USING- PARAMETERS IN -DO- STATEMENT.
74,00	C3	reserved	name resolution	B.2 DO/functions/subscripting		M3 (DO USING/GIVING parameter counts)	TOO MANY -GIVING- PARAMETERS IN -DO- STATEMENT
75,00	C3	reserved	name resolution	B.2 DO/functions/subscripting		M3 (DO USING/GIVING parameter counts)	TOO FEW -GIVING- PARAMETERS IN -DO- STATEMENT
76,00	C3	reserved	name resolution	B.2 DO/functions/subscripting		M3 (loop control variable formats)	FORMAT ERROR FOR LOOP CONTROL VARIABLE 'NAME.1'.
77,00	C3	reserved	name resolution	B.2 DO/functions/subscripting		M3 (loop control variable formats)	FORMAT ERROR FOR PARAMETER 'NAME.1' OF LOOP CONTROL VARIABLE.
78,00	C3	reserved	name resolution	B.2 DO/functions/subscripting		M3 (loop control variable formats)	FORMAT ERROR FOR LITERAL PARAMETER OF LOOP CONTROL VARIABLE 'NAME.1'.
79,00	C2	reserved	name resolution	B.2 DO/functions/subscripting		M3 (subscript variable formats)	SUBSCRIPT VARIABLE 'NAME.1' MUST BE OF NUMERIC TYPE.
80,00	C2	enforced	data description	B.2 data description	test/data_mapper_test.dart: a redefinition with different justification draws 80,00	M3 (REDEF justification conflict)	CONFLICT BETWEEN JUSTIFICATION AS GIVEN BY ORIGINAL DEFINITION AND -REDEF-.
81,00	C3	enforced	data description	B.2 data description	test/data_mapper_test.dart: a redefinition at a different level draws 81,00	M3 (REDEF level conflict)	CONFLICT BETWEEN LEVEL AS GIVEN BY ORIGINAL DEFINITION AND -REDEF-.
82,00	C2	reserved	name resolution	B.2 MOVE/ADD/SET/arithmetic		M3 (figurative-constant usage at data-format level; triggering contexts undocumented — M2 nested-figurative misuse takes 192 per M2-8/D1.5)	INCORRECT USAGE OF FIGURATIVE CONSTANT.
83,00	C3	enforced	procedure parser	B.2 DO/functions/subscripting	test/procedure_parser_test.dart: DO FOR parses p(q)r; a fourth index draws 83 (D5.2)		INVALID FORM OF -DO- STATEMENT.
84,00	C3	reserved	name resolution	B.2 MOVE/ADD/SET/arithmetic		M3 (MOVE format legality, J 02.04.03)	ILLEGAL MOVE - FROM 'NAME.1' ( E  A(2) )\n                    TO 'NAME.2' ( IR  999 ). NOTHING DONE .
85,00	C5	unreachable	none	B.2 self-diagnostics		permanent read error in phase 2; media/hardware failure, unreachable by construction in a Dart implementation (D9.15 group b)	PERMANENT READ ERROR IN PHASE 2. COMPILATION SUSPECT.
86,00	C1	reserved	code generator	B.2 environment description		M4 (COND key-setting tests); criterion invented (D9.11)	DIFFICULT TO PROGRAM KEY SETTING. CHECK ENVIRONMENT DESCRIPTION.
87,00	C4	reserved	code generator	B.2 sections/control flow		M4 (program-continuity checks)	PROBABLE PROGRAM CONTINUITY ERROR. PROGRAM FLOWS INTO *DATA.
88,00	C3	enforced	card reader and lexer	B.2 environment description	test/environment_lexer_test.dart: FILE and COND cards without names draw 1,00 and 88,00		-COND- CARD LACKS NAME IN COLUMNS 7 THROUGH 22.
89,00	C3	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: no direction word draws 89,00		-FILE- CARD FORMAT ERROR.
90,00	C4	enforced	environment description	no B.2 row	test/environment_parser_test.dart: a CONTRL name over 6 characters draws 207,00; well-formed card also gets 90,00	no B.2 row: (J 90.01.04 c.i) with (J 02.06.02); D7.8	THIS ENVIRONMENT TYPE NOT YET PROCESSED BY COMPILER.
91,00	C2	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: BLOCKSIZE with no following integer draws 91,00		NUMERIC INTEGER MUST FOLLOW -BLOCKSIZE- IN THE -FILE- CARD.
92,00	C2	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: ON ERROR with no following name draws 92,00		STATEMENT OR SECTION NAME MUST FOLLOW -ONERROR- IN THE -FILE- CARD.
93,00	C2	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: every issued message id has a severity row (Diagnostic.severity)		STATEMENT OR SECTION NAME MUST FOLLOW -FORLABEL- IN THE -FILE- CARD.
94,00	C2	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: every issued message id has a severity row (Diagnostic.severity)		DATA NAME MUST FOLLOW -PLACE LENGTH IN- IN THE -FILE- CARD.
95,00	C2	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: every issued message id has a severity row (Diagnostic.severity)		DATA NAME MUST FOLLOW -FIND LENGTH IN- IN THE -FILE- CARD.
96,00	C3	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: PRIMARY on an INPUT file draws 96,00		THERE IS AN ILLEGAL WORD IN THE -FILE- CARD.
97,00	C3	reserved	name resolution	B.2 MOVE/ADD/SET/arithmetic		M3 (CORRESPONDING hierarchy matching)	INVALID -CORRESPONDING- STATEMENT.
98,00	C2	reserved	name resolution	B.2 DO/functions/subscripting		M3 (array description checks)	CHECK DATA DESCRIPTION OF ARRAY OF ELEMENTS, 'NAME.1'.
99,00	C4	reserved	code generator	B.2 sections/control flow		M4 (program-continuity checks)	PROBABLE PROGRAM CONTINUITY ERROR. PROGRAM FLOWS INTO STATEMENT OR SECTION\n                    'NAME.1' ADDRESSED BY A -DO-.
100,00	C2	enforced	card reader and lexer	B.2 numeric limits	test/data_lexer_test.dart: an over-long pictorial draws 100,00		DATA DESCRIPTION CONTAINS PICTORIAL WHICH EXCEEDS LEGAL LIMIT OF 30 CHARACTERS.
101,00	C2	enforced	name resolution	B.2 names	test/resolver_test.dart: a declared name with a wrong qualifier chain draws	M3 stage 2 (M3-17 triage; D4.13 synonym qualification)	'NAME.1' IS AN IMPROPERLY QUALIFIED NAME.
102,00	C3	enforced	data description	B.2 data description	test/data_mapper_test.dart: QUANTITY IN naming an alphameric field draws 102,00	M3 (QUANTITY IN typing)	NAME OF NUMERIC TYPE MUST FOLLOW -QUANTITY IN-.\n                    'NAME.1' IS ALPHABETIC TYPE.
103,00	C3	enforced	data description	B.2 data description	test/data_mapper_test.dart: a LABEL entry with a Quantity draws 103,00	M3 (QUANTITY item typing)	DATA NAME HAVING -RECORD-, -COND-, -REDEF- OR -LABEL- CANNOT BE -QUANTITY- ITEM.
104,00	C1	enforced	data description	B.2 data description	test/data_mapper_test.dart: a REDEF between nonformat and format levels draws 104,00	M3; criterion attested, severity ours (D9.11)	-REDEF- OR -LABEL- OCCURRING BETWEEN NONFORMAT AND FORMAT DESCRIBED\n                    LEVELS MAY AFFECT POSITIONING ADVERSELY.
105,00	C3	enforced	data description	B.2 data description	test/data_mapper_test.dart: a count field after its variable field draws 105,00	M3 (QUANTITY/variable-field order)	-QUANTITY- ITEM 'NAME.1' CANNOT FOLLOW VARIABLE FIELD WHICH\n                    DEPENDS ON THE -QUANTITY- ITEM ITSELF.
106,00	C2	enforced	procedure parser	B.2 environment description	test/procedure_parser_test.dart: the AT END slot accepts a bare name; junk draws 106 (D6.6)		STATEMENT OR SECTION NAME MUST FOLLOW -AT END-. CHECK 'NAME.1'.
107,00	C3	enforced	procedure parser	B.2 conditionals	test/expression_parser_test.dart: a hybrid relation spelling draws 107 (M2-17)		ILLEGAL COMPARISON STRUCTURE.
108,00	C4	enforced	name resolution	B.2 names	test/resolver_test.dart: a reference declared nowhere draws 108,00	M3 stage 2 (M3-17 triage)	'NAME.1' IS AN UNDEFINED SYMBOL.
109,00	C5	reserved	internal-error reporting	B.2 self-diagnostics		subscript-resolution assertion (D9.15 group a)	PROCESSOR UNABLE TO FIND VARIABLE USED AS SUBSCRIPT. POSSIBLE COMPILER ERROR.
110,00	C4	enforced	data description, procedure parser	no B.2 row	test/data_parser_test.dart: a COPY entry parses its target and draws 110	no B.2 row: (J 90.01.02) with (J 90.01.03 b.i); D9.8	-COPY- AND -LIBRARY- ARE NOT YET HANDLED BY SYSTEM.
111,00	C2	reserved	input/output binder	B.2 environment description		M3 (FIND LENGTH IN formats)	'NAME.1' HAS IMPROPER DATA FORMAT FOR THIS USE IN THE\n                    -FIND LENGTH IN- OPTION.
112,00	C2	reserved	input/output binder	B.2 environment description		M3 (PLACE LENGTH IN formats)	'NAME.1' HAS IMPROPER DATA FORMAT FOR THIS USE IN THE\n                    -PLACE LENGTH IN- OPTION.
113,00	C2	enforced	procedure parser	B.2 lexical/card-format	test/expression_parser_test.dart: a redundant right parenthesis is eliminated (msg 113)		REDUNDANT RIGHT PARENTHESIS ELIMINATED .
114,00	C2	enforced	procedure parser	B.2 lexical/card-format	test/expression_parser_test.dart: an unclosed parenthesis draws 114		REDUNDANT LEFT PARENTHESIS.
115,00	C3	reserved	CRYPT assembler	B.2 CRYPT		M4	INVALID MACHINE OPERATION.
116,00	C1	enforced	procedure parser	B.2 MOVE/ADD/SET/arithmetic	test/expression_parser_test.dart: a missing operand draws 116 and assumes zero		MISSING OPERAND ASSUMED TO BE ZERO.
117,00	C4	reserved	input/output binder	B.2 environment description		M3 (uniform option use across records)	-FIND LENGTH IN- OPTION USED WITH SOME BUT NOT ALL OF THE RECORDS BELONGING TO THE FILE\n                    'NAME.1' REFERENCED BY A -GET RECORD FROM-.
118,00	C4	reserved	input/output binder	B.2 environment description		M3 (uniform option use across records)	-PLACE LENGTH IN- OPTION USED WITH SOME BUT NOT ALL OF THE RECORDS BELONGING TO THE FILE\n                    'NAME.1' REFERENCED BY A -GET RECORD FROM-.
119,00	C3	enforced	procedure parser	B.2 MOVE/ADD/SET/arithmetic	test/procedure_parser_test.dart: MOVE without a source draws 119 and deletes		INCOMPLETE -MOVE- EXPRESSION.
120,00	C2	reserved	name resolution	B.2 MOVE/ADD/SET/arithmetic		M3 (ADD operand formats)	'NAME.1' ELIMINATED FROM ADD BECAUSE OF IMPROPER DATA FORMAT ( E  A(2) ).
121,00	C4	reserved	input/output binder	B.2 environment description		M3 (uniform option use across records)	-BLOCK CONTROL- OPTION USED WITH SOME BUT NOT ALL OF THE RECORDS BELONGING TO THE FILE\n                    'NAME.1' REFERENCED BY A -GET RECORD FROM-.
122,00	C3	enforced	procedure parser	B.2 lexical/card-format	test/procedure_parser_test.dart: a bare STOP is a syntax error (D2.7)		INCOMPLETE STATEMENT DELETED FROM TEXT.
123,00	C3	reserved	name resolution	B.2 conditionals		M3 (variable-length comparison bar)	CANNOT USE VARIABLE LENGTH ITEMS FOR COMPARISON.
124,00	C5	reserved	internal-error reporting	B.2 self-diagnostics		internal-consistency assertion (D9.15 group a)	ILLEGAL INTERNAL CONDITION. NOTHING DONE. POSSIBLE COMPILER ERROR.
125,00	C3	enforced	procedure parser	B.2 lexical/card-format	test/procedure_parser_test.dart: a name where a verb belongs draws 125 and deletes		STATEMENT WITHOUT PROPER VERB DELETED FROM TEXT.
126,00	C3	enforced	procedure parser	B.2 lexical/card-format	test/procedure_parser_test.dart: two verbs without a comma draw 126 and delete		STATEMENT WITH MORE THAN ONE VERB DELETED FROM TEXT.
127,00	C2	reserved	name resolution	B.2 sections/control flow		M3	TRANSFER BYPASSED BECAUSE 'NAME.1' IS NOT A STATEMENT OR SECTION NAME.
128,00	C2	reserved	name resolution	B.2 sections/control flow		M3	TRANSFER BYPASSED BECAUSE 'NAME.1' IS A\n                    STATEMENT OR SECTION NAME ADDRESSED BY A -DO-.
129,00	C3	reserved	name resolution	B.2 sections/control flow		M3	FORMAT ERROR FOR TRANSFER INDEX. NOTHING DONE.
130,00	C1	reserved	name resolution	B.2 sections/control flow		M3	TRANSFER INDEX NOT AN INTEGER. INTEGRAL PART TAKEN AS VALUE.
131,00	C3	enforced	procedure parser	B.2 DISPLAY	test/procedure_parser_test.dart: an empty or numeric DISPLAY item draws 131 (M2-10)		INVALID DISPLAY STATEMENT.
132,00	C5	enforced	driver	B.2 lexical/card-format	test/driver_test.dart: a deck ending mid-job draws 132 at severity 5	M2 stage 3 (job stream, M2-15/D9.14/D11.3); severity 5 by decision	END OF FILE ON JOB TAPE WITHOUT *FINISH CARD.
133,00	C2	enforced	data description	B.2 data description	test/data_mapper_test.dart: a count with no right parenthesis draws 133,00	M3 (pictorial content classification)	NO RIGHT PARENTHESIS IN FORMAT PICTORIAL.
